source,run_number,density,similar_wanted,ticks,population,percent_similar,percent_unhappy,unhappy_count
netlogo,618,80,55,32,2040,94.20069834522545,0,0
netlogo,617,80,55,40,2098,93.75810869251838,0,0
netlogo,619,80,55,35,2072,94.21145894861193,0,0
netlogo,620,80,55,46,2091,94.38071729345143,0,0
netlogo,621,80,55,35,2060,93.70900417412045,0,0
netlogo,622,80,55,32,2062,94.37416282184849,0,0
netlogo,623,80,55,27,2103,93.87755102040816,0,0
netlogo,624,80,55,26,2074,93.82063701746661,0,0
netlogo,625,80,55,26,2068,93.76299376299376,0,0
netlogo,626,80,55,28,2066,93.54312008312306,0,0
netlogo,627,80,55,32,2105,93.89859639071899,0,0
netlogo,628,80,55,42,2098,94.48365259974074,0,0
netlogo,630,80,55,39,2073,94.2432273262662,0,0
netlogo,629,80,55,47,2051,93.19072009641458,0,0
netlogo,631,80,60,37,2104,96.65997706422019,0,0
netlogo,634,80,60,32,2083,97.28665207877462,0,0
netlogo,632,80,60,73,2119,97.10288298473714,0,0
netlogo,633,80,60,64,2063,96.6041108132261,0,0
netlogo,635,80,60,57,2123,96.58674188998589,0,0
netlogo,636,80,60,36,2059,96.4765601672141,0,0
netlogo,638,80,60,35,2079,96.47938976089189,0,0
netlogo,637,80,60,45,2099,96.93877551020408,0,0
netlogo,639,80,60,45,2045,96.88115064345193,0,0
netlogo,641,80,60,32,2072,96.59873918780238,0,0
netlogo,640,80,60,59,2074,96.28482972136223,0,0
netlogo,642,80,60,35,2060,97.00937360511828,0,0
netlogo,643,80,60,48,2094,96.33227022325312,0,0
netlogo,644,80,60,42,2028,97.02607899954248,0,0
netlogo,646,80,60,35,2059,96.91734921816828,0,0
netlogo,645,80,60,43,2084,96.32826214160328,0,0
netlogo,647,80,60,41,2082,96.57334499854184,0,0
netlogo,648,80,60,38,2082,97.0764508112849,0,0
netlogo,649,80,60,47,2083,96.43485915492957,0,0
netlogo,650,80,60,44,2088,97.03199652526423,0,0
netlogo,651,80,60,31,2051,96.85856004809861,0,0
netlogo,654,80,60,38,2082,96.54819365218663,0,0
netlogo,652,80,60,58,2102,96.48465638956922,0,0
netlogo,653,80,60,53,2071,96.70702894270525,0,0
netlogo,655,80,60,42,2070,97.1857963754236,0,0
netlogo,657,80,60,42,2063,96.55530809205642,0,0
netlogo,659,80,60,43,2069,96.51748666271487,0,0
netlogo,656,80,60,53,2116,96.44072603516733,0,0
netlogo,658,80,60,65,2107,96.52548456568557,0,0
netlogo,660,80,60,55,2071,96.57777777777777,0,0
netlogo,661,80,65,49,2091,98.39328878145884,0,0
netlogo,662,80,65,54,2060,98.19462791721708,0,0
netlogo,663,80,65,60,2098,98.5095613048369,0,0
netlogo,666,80,65,35,2046,98.16730712385457,0,0
netlogo,664,80,65,43,2089,98.05324935585456,0,0
netlogo,665,80,65,44,2103,97.78091872791519,0,0
netlogo,667,80,65,43,2061,98.37267262864682,0,0
netlogo,668,80,65,44,2057,97.94160583941606,0,0
netlogo,669,80,65,43,2110,97.92607223476298,0,0
netlogo,670,80,65,51,2066,98.25935596170584,0,0
netlogo,671,80,65,50,2064,98.09648358035454,0,0
netlogo,672,80,65,35,2072,98.20990327703191,0,0
netlogo,673,80,65,52,2070,98.10909090909091,0,0
netlogo,676,80,65,37,2087,98.02744425385936,0,0
netlogo,674,80,65,70,2078,98.44245745601384,0,0
netlogo,675,80,65,65,2073,98.30753652538695,0,0
netlogo,677,80,65,66,2072,97.95325881840616,0,0
netlogo,679,80,65,47,2105,98.00706713780919,0,0
netlogo,678,80,65,48,2055,98.25128581925055,0,0
netlogo,680,80,65,51,2068,98.00640279394645,0,0
netlogo,682,80,65,41,2095,98.19602272727272,0,0
netlogo,681,80,65,53,2092,98.10487318324309,0,0
netlogo,683,80,65,54,2088,98.24611435904748,0,0
netlogo,684,80,65,55,2081,98.0195177956372,0,0
netlogo,685,80,65,42,2127,98.29506393510243,0,0
netlogo,686,80,65,50,2069,97.9588861350051,0,0
netlogo,687,80,65,51,2075,98.16208393632417,0,0
netlogo,688,80,65,59,2080,98.07358053302433,0,0
netlogo,689,80,65,61,2101,97.99179748267571,0,0
netlogo,690,80,65,45,2091,98.24736392134511,0,0
netlogo,691,80,70,61,2073,99.54725523486134,0,0
netlogo,692,80,70,74,2108,99.63170099577138,0,0
netlogo,694,80,70,81,2117,99.24750307839649,0,0
netlogo,693,80,70,100,2055,99.5689035781003,0,0
netlogo,695,80,70,74,2082,99.59252494028382,0,0
netlogo,696,80,70,91,2106,99.64123085414654,0,0
netlogo,697,80,70,76,2074,99.57543164449476,0,0
netlogo,698,80,70,80,2059,99.51875442321303,0,0
netlogo,699,80,70,76,2107,99.57510964912281,0,0
netlogo,700,80,70,64,2113,99.64755320591027,0,0
netlogo,701,80,70,65,2101,99.49154871512987,0,0
netlogo,702,80,70,81,2082,99.53625632377741,0,0
netlogo,703,80,70,67,2094,99.50365366055426,0,0
netlogo,704,80,70,72,2100,99.78118161925602,0,0
netlogo,705,80,70,64,2089,99.48539638386649,0,0
netlogo,707,80,70,56,2068,99.5774647887324,0,0
netlogo,706,80,70,66,2126,99.60895361380798,0,0
netlogo,709,80,70,77,2083,99.59446231296322,0,0
netlogo,710,80,70,81,2083,99.47953298635532,0,0
netlogo,708,80,70,115,2071,99.5505617977528,0,0
netlogo,711,80,70,89,2053,99.58529958529958,0,0
netlogo,712,80,70,74,2076,99.41019519730375,0,0
netlogo,714,80,70,70,2097,99.6027397260274,0,0
netlogo,713,80,70,83,2067,99.58765818285227,0,0
netlogo,715,80,70,87,2119,99.41694915254237,0,0
netlogo,716,80,70,62,2066,99.42359060874455,0,0
netlogo,718,80,70,70,2089,99.553135037006,0,0
netlogo,717,80,70,79,2110,99.51870187018702,0,0
netlogo,721,90,15,7,2324,54.79287090558766,0,0
netlogo,722,90,15,7,2346,54.210028382213814,0,0
netlogo,719,80,70,65,2064,99.41728254690165,0,0
netlogo,723,90,15,6,2379,55.26345999311215,0,0
netlogo,724,90,15,7,2337,55.01548725279962,0,0
netlogo,725,90,15,5,2346,54.64416381446949,0,0
netlogo,726,90,15,6,2323,54.974136894021406,0,0
netlogo,727,90,15,8,2328,53.96330495263221,0,0
netlogo,728,90,15,5,2316,54.654400193681155,0,0
netlogo,729,90,15,8,2345,56.55107113267842,0,0
netlogo,730,90,15,9,2324,54.652844744455166,0,0
netlogo,731,90,15,8,2332,55.16375806837198,0,0
netlogo,732,90,15,5,2338,53.748366401330635,0,0
netlogo,734,90,15,5,2320,55.07666304479053,0,0
netlogo,735,90,15,5,2365,55.49488847583643,0,0
netlogo,733,90,15,9,2343,55.992420653718625,0,0
netlogo,720,80,70,83,2084,99.38504542278127,0,0
netlogo,736,90,15,8,2363,54.75165755496103,0,0
netlogo,737,90,15,7,2338,55.340152235965746,0,0
netlogo,738,90,15,8,2302,55.952380952380956,0,0
netlogo,740,90,15,5,2337,54.75538626354005,0,0
netlogo,739,90,15,9,2343,54.81077233361016,0,0
netlogo,741,90,15,6,2347,54.18143160878809,0,0
netlogo,742,90,15,8,2370,54.904458598726116,0,0
netlogo,743,90,15,6,2353,55.08046517091507,0,0
netlogo,744,90,15,7,2305,55.19814090019569,0,0
netlogo,745,90,15,7,2352,56.29481603385448,0,0
netlogo,747,90,15,5,2349,55.939601274035624,0,0
netlogo,746,90,15,7,2350,54.47489121486534,0,0
netlogo,748,90,15,6,2350,55.9349976448422,0,0
netlogo,750,90,15,5,2361,54.084967320261434,0,0
netlogo,749,90,15,8,2317,54.24201966258041,0,0
netlogo,751,90,20,5,2350,56.5161138555634,0,0
netlogo,752,90,20,6,2332,56.3313044516052,0,0
netlogo,754,90,20,6,2345,57.60792639773531,0,0
netlogo,755,90,20,8,2335,56.543444668964696,0,0
netlogo,753,90,20,11,2334,55.47627541919372,0,0
netlogo,756,90,20,11,2330,56.67620410109681,0,0
netlogo,757,90,20,6,2347,55.55032925682032,0,0
netlogo,758,90,20,10,2337,56.68011390602753,0,0
netlogo,760,90,20,6,2358,56.51211556383971,0,0
netlogo,759,90,20,11,2350,58.158357771260995,0,0
netlogo,761,90,20,8,2328,56.27912534352969,0,0
netlogo,764,90,20,6,2322,56.020690484782875,0,0
netlogo,762,90,20,9,2349,56.68191951190895,0,0
netlogo,763,90,20,9,2339,56.8906268515227,0,0
netlogo,765,90,20,8,2327,56.23129414581588,0,0
netlogo,766,90,20,8,2342,57.469223484848484,0,0
netlogo,767,90,20,8,2313,57.74767146486028,0,0
netlogo,768,90,20,8,2360,56.487396910210244,0,0
netlogo,769,90,20,10,2355,56.767180925666196,0,0
netlogo,771,90,20,8,2363,55.754060324825986,0,0
netlogo,770,90,20,10,2338,56.28856193640247,0,0
netlogo,772,90,20,10,2321,55.428640134663944,0,0
netlogo,773,90,20,8,2315,58.206429780033844,0,0
netlogo,774,90,20,7,2312,57.93170259142649,0,0
netlogo,775,90,20,6,2354,56.05475605475605,0,0
netlogo,776,90,20,5,2347,55.06239698610784,0,0
netlogo,777,90,20,6,2345,55.4979375368297,0,0
netlogo,779,90,20,5,2358,55.60742210292916,0,0
netlogo,780,90,20,7,2356,57.66670559383393,0,0
netlogo,778,90,20,9,2322,56.820635872825434,0,0
netlogo,781,90,25,9,2347,56.0478199718706,0,0
netlogo,782,90,25,7,2350,57.54772221571612,0,0
netlogo,783,90,25,7,2359,56.50605214152699,0,0
netlogo,786,90,25,7,2337,56.25444207533759,0,0
netlogo,784,90,25,14,2311,57.17738037699371,0,0
netlogo,785,90,25,10,2354,57.223001402524545,0,0
netlogo,787,90,25,7,2337,56.43576080521019,0,0
netlogo,788,90,25,6,2332,55.543646540431105,0,0
netlogo,789,90,25,7,2329,57.94425917103383,0,0
netlogo,791,90,25,8,2345,56.52481433455145,0,0
netlogo,790,90,25,11,2335,57.35625370480142,0,0
netlogo,793,90,25,7,2319,55.935057125676494,0,0
netlogo,792,90,25,10,2358,57.71381962246562,0,0
netlogo,794,90,25,8,2337,56.93473883690632,0,0
