"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"netlogo/Segregation.nlogox"
"segregation-reference"
"05/23/2026 18:09:07:472 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","visualization","density","%-similar-wanted","[step]","ticks","count turtles","percent-similar","percent-unhappy","count turtles with [not happy?]"
"302","old","70","65","39","39","1781","98.3438035408338","0","0"
"301","old","70","65","40","40","1790","98.38619922092377","0","0"
"304","old","70","65","37","37","1838","98.39686498040614","0","0"
"303","old","70","65","50","50","1803","98.2400889218229","0","0"
"305","old","70","65","33","33","1816","98.40688518586339","0","0"
"306","old","70","65","34","34","1821","98.63957917649194","0","0"
"307","old","70","65","45","45","1814","98.6493885745574","0","0"
"308","old","70","65","44","44","1847","98.39857651245552","0","0"
"310","old","70","65","35","35","1787","98.31387808041504","0","0"
"309","old","70","65","37","37","1835","98.60039476045218","0","0"
"311","old","70","65","26","26","1814","98.23626676465184","0","0"
"312","old","70","65","43","43","1830","98.5859318346628","0","0"
"314","old","70","65","29","29","1843","98.34666666666666","0","0"
"313","old","70","65","41","41","1801","98.27201783723523","0","0"
"315","old","70","65","45","45","1848","98.23695345557122","0","0"
"317","old","70","65","32","32","1841","98.22993026998034","0","0"
"316","old","70","65","42","42","1780","98.25352112676057","0","0"
"318","old","70","65","37","37","1819","98.31765557163531","0","0"
"319","old","70","65","35","35","1788","98.5013876040703","0","0"
"320","old","70","65","36","36","1775","98.48312476298824","0","0"
"321","old","70","65","37","37","1792","98.42359050445104","0","0"
"322","old","70","65","30","30","1783","98.22890877928013","0","0"
"323","old","70","65","32","32","1788","98.15546772068511","0","0"
"324","old","70","65","30","30","1796","98.43260188087774","0","0"
"325","old","70","65","37","37","1810","98.1888035126235","0","0"
"326","old","70","65","44","44","1852","98.80281690140845","0","0"
"327","old","70","65","42","42","1803","98.2122905027933","0","0"
"329","old","70","65","32","32","1786","98.33017077798861","0","0"
"328","old","70","65","50","50","1859","98.73175816539263","0","0"
"330","old","70","65","36","36","1828","98.62493215125745","0","0"
"331","old","70","70","55","55","1818","99.58289885297185","0","0"
"332","old","70","70","56","56","1859","99.69969969969969","0","0"
"334","old","70","70","45","45","1801","99.48435277382646","0","0"
"333","old","70","70","66","66","1891","99.640640313623","0","0"
"335","old","70","70","51","51","1831","99.65811965811966","0","0"
"337","old","70","70","58","58","1781","99.4295900178253","0","0"
"336","old","70","70","65","65","1833","99.60670314637483","0","0"
"338","old","70","70","64","64","1817","99.67443454420835","0","0"
"339","old","70","70","62","62","1824","99.51832100464476","0","0"
"340","old","70","70","43","43","1805","99.6162567591139","0","0"
"341","old","70","70","60","60","1799","99.52838427947597","0","0"
"342","old","70","70","55","55","1815","99.72370920393713","0","0"
"343","old","70","70","61","61","1794","99.54136532016229","0","0"
"344","old","70","70","61","61","1819","99.6162567591139","0","0"
"345","old","70","70","54","54","1831","99.69146383270483","0","0"
"346","old","70","70","58","58","1805","99.56978144897607","0","0"
"347","old","70","70","59","59","1788","99.62732919254658","0","0"
"348","old","70","70","59","59","1834","99.57388784728141","0","0"
"349","old","70","70","64","64","1832","99.64382632293079","0","0"
"350","old","70","70","68","68","1805","99.65059399021663","0","0"
"351","old","70","70","55","55","1814","99.52291702163912","0","0"
"352","old","70","70","50","50","1846","99.54268292682927","0","0"
"353","old","70","70","64","64","1833","99.5551753635586","0","0"
"354","old","70","70","59","59","1838","99.69574036511156","0","0"
"356","old","70","70","55","55","1820","99.56664933263997","0","0"
"355","old","70","70","78","78","1779","99.44761225944406","0","0"
"358","old","70","70","54","54","1800","99.66678358470712","0","0"
"361","old","80","15","5","5","2066","55.05189255189256","0","0"
"357","old","70","70","76","76","1866","99.5028173682466","0","0"
"362","old","80","15","7","7","2089","54.44211785821119","0","0"
"363","old","80","15","4","4","2067","55.31459987782529","0","0"
"364","old","80","15","4","4","2051","53.81880024737168","0","0"
"360","old","70","70","57","57","1843","99.76255088195387","0","0"
"365","old","80","15","5","5","2107","54.72336668628605","0","0"
"359","old","70","70","71","71","1825","99.48586118251927","0","0"
"366","old","80","15","6","6","2068","54.02334152334153","0","0"
"367","old","80","15","5","5","2086","54.067771309150615","0","0"
"368","old","80","15","5","5","2056","54.87861450440698","0","0"
"369","old","80","15","4","4","2057","53.686635944700456","0","0"
"370","old","80","15","7","7","2096","55.331454842058434","0","0"
"371","old","80","15","6","6","2080","54.798854904324244","0","0"
"373","old","80","15","5","5","2126","53.103348729792145","0","0"
"372","old","80","15","8","8","2099","54.24855918427664","0","0"
"374","old","80","15","4","4","2102","52.25132430841671","0","0"
"375","old","80","15","5","5","2044","53.95290815530953","0","0"
"376","old","80","15","4","4","2087","54.083158839365844","0","0"
"377","old","80","15","4","4","2070","53.19603356216629","0","0"
"378","old","80","15","5","5","2059","54.30544896392939","0","0"
"379","old","80","15","5","5","2068","55.11979246146803","0","0"
"381","old","80","15","4","4","2095","53.51319300326119","0","0"
"380","old","80","15","6","6","2096","54.874446085672076","0","0"
"382","old","80","15","4","4","2058","54.58050586057988","0","0"
"383","old","80","15","4","4","2105","54.72307918319377","0","0"
"386","old","80","15","4","4","2054","54.008047044258745","0","0"
"385","old","80","15","7","7","2070","54.98333838230839","0","0"
"384","old","80","15","10","10","2057","55.56750115189679","0","0"
"387","old","80","15","6","6","2081","55.406424370381544","0","0"
"389","old","80","15","4","4","2075","55.37528430629265","0","0"
"388","old","80","15","6","6","2055","55.09416486569929","0","0"
"390","old","80","15","4","4","2112","54.37417847232364","0","0"
"391","old","80","20","5","5","2103","56.448296122209165","0","0"
"393","old","80","20","5","5","2086","57.99284223083806","0","0"
"392","old","80","20","6","6","2121","56.68056953832878","0","0"
"394","old","80","20","6","6","2106","58.31505046072839","0","0"
"395","old","80","20","9","9","2070","56.71551593896359","0","0"
"397","old","80","20","7","7","2081","56.536731634182914","0","0"
"396","old","80","20","9","9","2104","56.82084309133489","0","0"
"398","old","80","20","6","6","2064","58.95363026235509","0","0"
"399","old","80","20","9","9","2077","55.97172081829122","0","0"
"400","old","80","20","8","8","2075","60.222824450466724","0","0"
"401","old","80","20","8","8","2101","56.628453850676074","0","0"
"402","old","80","20","8","8","2045","57.91433891992551","0","0"
"403","old","80","20","7","7","2101","56.99177438307873","0","0"
"406","old","80","20","6","6","2061","58.57753357753358","0","0"
"404","old","80","20","7","7","2100","56.5274919141429","0","0"
"405","old","80","20","8","8","2091","57.671800947867304","0","0"
"407","old","80","20","6","6","2081","57.3134328358209","0","0"
"409","old","80","20","6","6","2063","57.1254752851711","0","0"
"408","old","80","20","9","9","2071","58.68181818181818","0","0"
"410","old","80","20","7","7","2093","57.020269270602164","0","0"
"411","old","80","20","8","8","2118","56.755973931933376","0","0"
"412","old","80","20","8","8","2080","56.67815919652226","0","0"
"413","old","80","20","6","6","2085","57.20244302100402","0","0"
"414","old","80","20","7","7","2047","58.2467028704422","0","0"
"415","old","80","20","6","6","2036","58.01035619017731","0","0"
